ID,Site,Number,LT Notes,Tip angle PDLP/AW,Tip length (>25%) AW,Tip angle AW,AW notes,Member,Layer,Layer number,Relative stratigraphy,Raw materials,Raw materials 2,Tip damage,Knapping modality,Pseudollevallois Y or N,Number of scars,Orientation of the tip,Length,Width,New strat
65,Sibudu,538,,48,n,y,,NA,SS,17,4,,,N,,,,,,,
66,Sibudu,539,,57,n,n,,NA,SS,17,4,,,N,,,,,,,
67,Sibudu,540,,70,y,y,,NA,SS,17,4,,,N,,,,,,,
68,Sibudu,617,,79,,,removed,NA,SPCA,15,2,,,N,,,,,,,
69,Sibudu,627,,85,y,y,,NA,SPCA,15,2,,,N,,,,,,,
70,Sibudu,629,,69,y,y,,NA,SPCA,15,2,,,N,,,,,,,
71,Sibudu,630,?,92,y,n,sociological,NA,SPCA,15,2,,,N,,,,,,,
72,Sibudu,631,,61,y,y,,NA,SPCA,15,2,,,N,,,,,,,
73,Sibudu,632,,56,n,y,,NA,SPCA,15,2,,,N,,,,,,,
74,Sibudu,634,,70,,,removed,NA,SPCA,15,2,,,N,,,,,,,
75,Sibudu,635,,63,,,removed,NA,SPCA,15,2,,,N,,,,,,,
76,Sibudu,636,,65,,,removed,NA,SPCA,15,2,,,N,,,,,,,
77,Sibudu,638,,63,y,y,,NA,SPCA,15,2,,,N,,,,,,,
78,Sibudu,639,,73,y,y,,NA,BSP,14,1,,,N,,,,,,,
79,Sibudu,640,,91,y,n,,NA,Iv/BM,21,8,,,N,,,,,,,
80,Sibudu,641,,77,,,removed,NA,Iv/BM,21,8,,,N,,,,,,,
81,Sibudu,652,,37,,,removed,NA,REDDISH BLACK,16,10,,,N,,,,,,,
82,Sibudu,653,,39,n,y,,NA,REDDISH BLACK,16,10,,,N,,,,,,,
83,Sibudu,654,,69,y,y,,NA,"Ma,MY,BO",19,6,,,N,,,,,,,
84,Sibudu,655,,60,n,n,,NA,Che/Eb,18,5,,,N,,,,,,,
85,Sibudu,656,,87,y,y,,NA,BSP,14,1,,,N,,,,,,,
86,Sibudu,657,,66,n,n,,NA,Iv/BM,21,8,,,N,,,,,,,
87,Sibudu,660,,25,,,,NA,Che/Eb,18,5,,,N,,,,,,,
88,Sibudu,661,,75,n,n,,NA,Che/Eb,18,5,,,N,,,,,,,
89,Sibudu,662,,49,n,n,,NA,BL/Mi,16,3,,,N,,,,,,,
90,Sibudu,663,,82,y,y,,NA,Iv/BM,21,8,,,N,,,,,,,
91,Sibudu,664,,72,n,y,,NA,Iv/BM,21,8,,,N,,,,,,,
92,Sibudu,665,,41,y,y,,NA,Iv/BM,21,8,,,N,,,,,,,
93,Sibudu,669,,60,,,,NA,SULPHUR,22,9,,,N,,,,,,,
94,Sibudu,670,,37,y,y,,NA,BL/Mi,16,3,,,N,,,,,,,
