ID,Site,Number,Tip angle PDLP/AW,Tip length (>25%) AW,Tip angle AW,Member,Layer,Layer number,Relative stratigraphy,Raw materials,Raw materials 2,Tip damage,Knapping modality,Pseudollevallois Y or N,Number of scars,Orientation of the tip,Length,Width,New strat,Proximal dorsal preparation,Ridges and Nodes,Dorsal scar pattern,Angle,Retouch
0,Border Cave,1222,62,,n,2 BS,Grass bed 2 within 2BSL,NA,6,B1,rhyolite,Y,Ind,N,M,C,71.35,34.7,2 BS.LR,N,Ind,Ind,60-80,R
1,Border Cave,1390,60,y,y,2 BS,Brown,NA,7,R2,rhyolite,N,L,N,M,C,,,2 BS.LR,N,4N,Multidirectional,Ind,U
2,Border Cave,1396,82,n,y,2 BS,Brown,NA,9,R1,rhyolite,N,D,N,2S,DR,61.95,41.66,2 BS.LR,N,1R,Transversal right,60-80,U
3,Border Cave,1400,92,n,n,2 BS,Brown,NA,9,R2,rhyolite,N,L,N,M,C,68.27,37.62,2 BS.LR,N,2N,Multidirectional,Ind,U
4,Border Cave,1405,58,possible,y,2 BS,Brown,NA,9,R2,rhyolite,N,D,N,M,C,53.23,25.13,2 BS.LR,Y,3N,Multidirectional,60-80,U
5,Border Cave,1466,46,,n,2 BS,Brown,NA,9,R2,rhyolite,Y,LP,N,M,C,38.9,24.44,2 BS.LR,N,3N,Multidirectional,Ind,U
6,Border Cave,1483,64,,n,2 BS,Brown,NA,9,B2,rhyolite,N,L,N,M,C,45.23,33.53,2 BS.LR,N,2N,Multidirectional,>80,U
7,Border Cave,1486,42,,n,2 BS,Brown,NA,9,B2,rhyolite,N,L,N,M,C,59.19,31.03,2 BS.LR,Y,1N,Unidirectional direct,>80,R
8,Border Cave,1488,72,n,y,2 BS,Brown,NA,7,R2,rhyolite,N,LP,N,3S-Low,C,35.25,18.86,2 BS.LR,N,1N,Unidirectional direct,60-80,U
9,Border Cave,1950,44,y,y,2 WA,Light reddish brown,NA,8,Ind,rhyolite,N,D,N,2S,DL,45.58,24.6,2 WA.UP,N,1R,Ind,Ind,U
10,Border Cave,2040,64,y,y,2 BS,Brown sand lower silty,NA,9,Ch,other,N,L,N,M,DL,70.5,42.56,2 BS.LR,N,8N,Multidirectional,Ind,U
11,Border Cave,2295,76,n,y,2 BS,Brown sand lower silty,NA,9,R2,rhyolite,N,LP,N,3S-High,C,47.31,25.99,2 BS.LR,N,1N,Unidirectional convergent direct,60-80,M
12,Border Cave,2296,30,,n,2 BS,Brown sand lower silty,NA,9,R2,rhyolite,N,LP,N,2S,C,47.34,22.25,2 BS.LR,N,1N,Ind,Ind,U
13,Border Cave,2297,78,n,y,2 BS,Brown sand lower silty,NA,9,B3,rhyolite,N,D,N,2S,DR,55.27,30.03,2 BS.LR,N,Ind,Ind,Ind,U
14,Border Cave,2416,92,n,y,2 BS,Brown sand lower silty,NA,9,R2,rhyolite,N,Ind,N,3S-High,C,43.21,25.32,2 BS.LR,N,1N,Unidirectional direct,>80,U
15,Border Cave,2936,88,n,y,2 BS,Brown with organic inclusion,NA,9,R1,rhyolite,N,D,N,M,C,77.88,47.08,2 WA.UP,Y,3N,Multidirectional,60-80,U
16,Border Cave,2953,68,possible,y,2 WA,Very dark greyish brown,NA,11,B2,rhyolite,N,D,N,3S-Mesial,DR,37.13,18.3,2 WA.UP,N,1N,Multidirectional,Ind,U
17,Border Cave,3224,not recorded,y,y,3 BS,Ea,NA,15,R2,rhyolite,N,Ind,N,M,C,,,3 BS,N,4N,Ind,80,R
18,Border Cave,3300,not recorded,,n,2 WA,Devo,NA,8,Ind,rhyolite,Y,D,N,M,DL,,25.64,2 WA.UP,N,Ind,Ind,60-80,U
19,Border Cave,3307,90,n,y,2 WA,Devo,NA,10,Ind,rhyolite,N,LP,N,M,C,32.23,28.42,2 WA.UP,N,Ind,Ind,Ind,U
